,Modelo Base,Modelo Optimizado,Mejora,Mejora (%)
Accuracy,0.6037991858887382,0.8539122568973315,0.25011307100859337,41.42
Precision,0.9916897506925207,0.9719334719334719,-0.01975627875904884,-1.99
Recall,0.2908204711616572,0.7595450852965069,0.46872461413484967,161.17
F1-score,0.44974874371859297,0.8527131782945736,0.40296443457598063,89.6
AUC-ROC,0.9694619439977453,0.9694652597025814,3.3157048360266117e-06,0.0
