iteracion,subset,f1_score
286,"['port', 'Google_Index', 'having_Sub_Domain', 'Iframe', 'SSLfinal_State']",0.8831168831168831
469,"['HTTPS_token', 'popUpWidnow', 'age_of_domain', 'SSLfinal_State', 'Links_in_tags']",0.8823529411764706
271,"['having_IP_Address', 'RightClick', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.8818586258032625
346,"['Iframe', 'Abnormal_URL', 'URL_of_Anchor', 'Redirect', 'age_of_domain']",0.8809849521203831
315,"['Request_URL', 'Google_Index', 'SFH', 'having_At_Symbol', 'SSLfinal_State']",0.8809643395278755
25,"['DNSRecord', 'URL_Length', 'SSLfinal_State', 'Page_Rank', 'web_traffic']",0.880859375
215,"['having_IP_Address', 'Shortining_Service', 'Favicon', 'SSLfinal_State', 'Request_URL']",0.8804294777940459
83,"['having_At_Symbol', 'Links_pointing_to_page', 'Redirect', 'SSLfinal_State', 'on_mouseover']",0.8803126526624329
66,"['port', 'web_traffic', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State']",0.8802816901408451
16,"['Iframe', 'Shortining_Service', 'URL_Length', 'popUpWidnow', 'SSLfinal_State']",0.8795709410043882
338,"['RightClick', 'HTTPS_token', 'having_At_Symbol', 'popUpWidnow', 'SSLfinal_State']",0.87943971985993
481,"['Shortining_Service', 'Statistical_report', 'SSLfinal_State', 'Page_Rank', 'Links_in_tags']",0.8793356130923302
206,"['Domain_registeration_length', 'Links_pointing_to_page', 'Links_in_tags', 'SSLfinal_State', 'DNSRecord']",0.8791423001949318
277,"['SFH', 'SSLfinal_State', 'Links_in_tags', 'Abnormal_URL', 'double_slash_redirecting']",0.8790243902439024
108,"['URL_of_Anchor', 'double_slash_redirecting', 'URL_Length', 'Favicon', 'HTTPS_token']",0.8788150807899462
480,"['Links_pointing_to_page', 'Submitting_to_email', 'double_slash_redirecting', 'Page_Rank', 'URL_of_Anchor']",0.8788150807899462
197,"['HTTPS_token', 'Abnormal_URL', 'URL_of_Anchor', 'popUpWidnow', 'Shortining_Service']",0.8788150807899462
135,"['Links_pointing_to_page', 'Favicon', 'Submitting_to_email', 'popUpWidnow', 'URL_of_Anchor']",0.8788150807899462
410,"['SSLfinal_State', 'Request_URL', 'on_mouseover', 'URL_Length', 'having_IP_Address']",0.878286270691334
461,"['DNSRecord', 'SFH', 'having_Sub_Domain', 'SSLfinal_State', 'double_slash_redirecting']",0.8778588807785888
57,"['Iframe', 'RightClick', 'URL_Length', 'SSLfinal_State', 'Shortining_Service']",0.8778588807785888
158,"['Page_Rank', 'age_of_domain', 'Links_pointing_to_page', 'Submitting_to_email', 'URL_of_Anchor']",0.8777173913043478
427,"['RightClick', 'Page_Rank', 'double_slash_redirecting', 'SSLfinal_State', 'having_At_Symbol']",0.8771060455896927
367,"['Links_in_tags', 'Submitting_to_email', 'SSLfinal_State', 'on_mouseover', 'URL_Length']",0.8770053475935828
293,"['Links_in_tags', 'having_IP_Address', 'age_of_domain', 'double_slash_redirecting', 'URL_of_Anchor']",0.8766859344894027
154,"['Links_in_tags', 'URL_Length', 'Abnormal_URL', 'SSLfinal_State', 'Statistical_report']",0.8764591439688716
219,"['Links_in_tags', 'Domain_registeration_length', 'Favicon', 'SSLfinal_State', 'having_At_Symbol']",0.8760330578512396
121,"['Page_Rank', 'web_traffic', 'Google_Index', 'SSLfinal_State', 'having_IP_Address']",0.8754308222550468
132,"['age_of_domain', 'popUpWidnow', 'having_Sub_Domain', 'HTTPS_token', 'URL_of_Anchor']",0.8742911153119093
253,"['on_mouseover', 'Domain_registeration_length', 'having_IP_Address', 'Shortining_Service', 'SSLfinal_State']",0.874031007751938
130,"['URL_Length', 'Iframe', 'URL_of_Anchor', 'having_IP_Address', 'Submitting_to_email']",0.8717253839205059
308,"['on_mouseover', 'popUpWidnow', 'SSLfinal_State', 'SFH', 'Statistical_report']",0.8716148445336008
140,"['having_IP_Address', 'Favicon', 'having_Sub_Domain', 'URL_of_Anchor', 'web_traffic']",0.8710575139146568
161,"['Domain_registeration_length', 'DNSRecord', 'SSLfinal_State', 'Page_Rank', 'RightClick']",0.870873786407767
35,"['URL_of_Anchor', 'on_mouseover', 'Shortining_Service', 'Request_URL', 'Links_in_tags']",0.8707021791767554
172,"['Google_Index', 'Links_pointing_to_page', 'Page_Rank', 'URL_of_Anchor', 'Abnormal_URL']",0.8699763593380615
119,"['URL_Length', 'Google_Index', 'SFH', 'SSLfinal_State', 'having_Sub_Domain']",0.8697813121272365
383,"['Shortining_Service', 'Page_Rank', 'URL_of_Anchor', 'having_At_Symbol', 'age_of_domain']",0.8684931506849315
168,"['having_Sub_Domain', 'Page_Rank', 'URL_of_Anchor', 'Request_URL', 'Links_pointing_to_page']",0.8679245283018868
236,"['Links_in_tags', 'Favicon', 'Google_Index', 'Redirect', 'URL_of_Anchor']",0.8677098150782361
459,"['popUpWidnow', 'URL_of_Anchor', 'Submitting_to_email', 'HTTPS_token', 'having_IP_Address']",0.8676337262012692
386,"['having_At_Symbol', 'URL_of_Anchor', 'HTTPS_token', 'Google_Index', 'popUpWidnow']",0.8672985781990521
416,"['Google_Index', 'age_of_domain', 'URL_Length', 'URL_of_Anchor', 'having_IP_Address']",0.8672985781990521
378,"['Google_Index', 'having_Sub_Domain', 'URL_of_Anchor', 'Links_in_tags', 'Links_pointing_to_page']",0.8672219500244978
243,"['Shortining_Service', 'popUpWidnow', 'SSLfinal_State', 'Statistical_report', 'Domain_registeration_length']",0.8667628667628667
347,"['age_of_domain', 'double_slash_redirecting', 'Links_pointing_to_page', 'URL_of_Anchor', 'RightClick']",0.8658481127785357
313,"['Redirect', 'Favicon', 'RightClick', 'URL_of_Anchor', 'Iframe']",0.8658481127785357
364,"['URL_Length', 'double_slash_redirecting', 'age_of_domain', 'URL_of_Anchor', 'Submitting_to_email']",0.8658088235294118
252,"['URL_Length', 'Links_pointing_to_page', 'URL_of_Anchor', 'age_of_domain', 'port']",0.8657810352725607
105,"['URL_of_Anchor', 'Abnormal_URL', 'having_IP_Address', 'having_At_Symbol', 'Shortining_Service']",0.8656579550664832
199,"['URL_of_Anchor', 'Page_Rank', 'SFH', 'having_At_Symbol', 'HTTPS_token']",0.8655767484105359
266,"['Abnormal_URL', 'Links_in_tags', 'URL_of_Anchor', 'URL_Length', 'having_Sub_Domain']",0.865520728008089
137,"['double_slash_redirecting', 'having_Sub_Domain', 'URL_of_Anchor', 'popUpWidnow', 'Request_URL']",0.8653940283896231
348,"['having_At_Symbol', 'Page_Rank', 'SFH', 'on_mouseover', 'URL_of_Anchor']",0.8652612282309807
164,"['Favicon', 'SSLfinal_State', 'Domain_registeration_length', 'port', 'Links_pointing_to_page']",0.8652278177458034
287,"['Redirect', 'Request_URL', 'SSLfinal_State', 'Google_Index', 'DNSRecord']",0.8650754992693619
350,"['Links_in_tags', 'SSLfinal_State', 'Google_Index', 'HTTPS_token', 'having_At_Symbol']",0.865021770682148
333,"['SSLfinal_State', 'Google_Index', 'popUpWidnow', 'age_of_domain', 'Request_URL']",0.8646800195407914
63,"['having_At_Symbol', 'popUpWidnow', 'URL_of_Anchor', 'HTTPS_token', 'Links_in_tags']",0.8635737253100597
30,"['double_slash_redirecting', 'SSLfinal_State', 'age_of_domain', 'Abnormal_URL', 'Domain_registeration_length']",0.8635710866443275
261,"['port', 'URL_of_Anchor', 'Iframe', 'SFH', 'Favicon']",0.863302752293578
242,"['SSLfinal_State', 'Favicon', 'Iframe', 'Google_Index', 'Links_in_tags']",0.8631781084973595
84,"['URL_Length', 'on_mouseover', 'Shortining_Service', 'URL_of_Anchor', 'popUpWidnow']",0.862368541380887
418,"['Redirect', 'URL_of_Anchor', 'Request_URL', 'Iframe', 'RightClick']",0.8621484555094514
167,"['URL_of_Anchor', 'port', 'Abnormal_URL', 'Links_in_tags', 'URL_Length']",0.8621323529411765
152,"['Google_Index', 'DNSRecord', 'Links_pointing_to_page', 'having_At_Symbol', 'URL_of_Anchor']",0.8620525059665871
474,"['Favicon', 'DNSRecord', 'Request_URL', 'Submitting_to_email', 'URL_of_Anchor']",0.8614657210401891
408,"['URL_of_Anchor', 'having_At_Symbol', 'Favicon', 'popUpWidnow', 'Redirect']",0.8613272311212815
380,"['Request_URL', 'URL_of_Anchor', 'age_of_domain', 'having_At_Symbol', 'port']",0.8609699769053117
322,"['SSLfinal_State', 'RightClick', 'having_Sub_Domain', 'on_mouseover', 'Domain_registeration_length']",0.8607594936708861
82,"['Shortining_Service', 'popUpWidnow', 'Google_Index', 'SSLfinal_State', 'Request_URL']",0.8602045786653677
342,"['Iframe', 'Favicon', 'RightClick', 'URL_of_Anchor', 'having_At_Symbol']",0.8601558917927556
149,"['URL_of_Anchor', 'Links_pointing_to_page', 'RightClick', 'Redirect', 'having_Sub_Domain']",0.8597701149425288
405,"['popUpWidnow', 'Shortining_Service', 'Domain_registeration_length', 'Links_in_tags', 'URL_of_Anchor']",0.8595450049455984
182,"['Domain_registeration_length', 'DNSRecord', 'Page_Rank', 'URL_of_Anchor', 'Shortining_Service']",0.8589743589743589
258,"['Redirect', 'URL_of_Anchor', 'RightClick', 'Page_Rank', 'SFH']",0.8588560885608856
259,"['Shortining_Service', 'SFH', 'HTTPS_token', 'URL_of_Anchor', 'port']",0.8581851345189239
31,"['age_of_domain', 'Redirect', 'URL_of_Anchor', 'Links_pointing_to_page', 'Request_URL']",0.8581113801452784
358,"['Google_Index', 'SSLfinal_State', 'port', 'DNSRecord', 'double_slash_redirecting']",0.8575539568345324
4,"['URL_of_Anchor', 'URL_Length', 'having_IP_Address', 'Shortining_Service', 'having_Sub_Domain']",0.8565656565656565
51,"['on_mouseover', 'URL_of_Anchor', 'having_Sub_Domain', 'Statistical_report', 'Abnormal_URL']",0.8558139534883721
217,"['HTTPS_token', 'SFH', 'Abnormal_URL', 'Submitting_to_email', 'URL_of_Anchor']",0.8549199084668192
67,"['having_Sub_Domain', 'Abnormal_URL', 'Links_in_tags', 'double_slash_redirecting', 'URL_of_Anchor']",0.8546571136131014
203,"['Abnormal_URL', 'DNSRecord', 'SFH', 'Links_in_tags', 'URL_of_Anchor']",0.8544891640866873
447,"['HTTPS_token', 'Statistical_report', 'Favicon', 'Request_URL', 'URL_of_Anchor']",0.8542151839776432
62,"['SFH', 'web_traffic', 'URL_of_Anchor', 'having_Sub_Domain', 'having_At_Symbol']",0.854075158613958
102,"['URL_of_Anchor', 'Page_Rank', 'Domain_registeration_length', 'URL_Length', 'having_IP_Address']",0.8538880633977216
