,Modelo Base,Modelo Optimizado,Mejora,Mejora (%)
Accuracy,0.8968792401628223,0.8968792401628223,0.0,0.0
Precision,0.9002394253790902,0.9002394253790902,0.0,0.0
Recall,0.9163281884646629,0.9163281884646629,0.0,0.0
F1-score,0.9082125603864735,0.9082125603864735,0.0,0.0
AUC-ROC,0.9444747923539847,0.9444747923539847,0.0,0.0
